"Año","Precio_Pronosticado","Limite_Inf_80","Limite_Sup_80","Limite_Inf_95","Limite_Sup_95"
2024,131.931279408847,117.458174199094,146.404384618599,109.796575103351,154.065983714342
2025,133.558557426459,105.276882727384,161.840232125535,90.3054684966273,176.811646356292
2026,134.663191504789,92.7250400588935,176.601342950684,70.5243237275791,198.802059281999
2027,135.413042749506,80.4708121810702,190.355273317941,51.3861521899611,219.43993330905
2028,135.922059174251,68.7946145246965,203.049503823805,33.2594918421105,238.584626506391
2029,136.267591334777,57.78953315681,214.745649512744,16.2457586275691,256.289424041985
2030,136.502146583201,47.4591013057966,225.545191860606,0.322560439651056,272.681732726752
