year		month		H(h)_m
2005		Jan		99.64
2005		Feb		97.83
2005		Mar		134.73
2005		Apr		189.85
2005		May		210.3
2005		Jun		242.24
2005		Jul		254.14
2005		Aug		224.16
2005		Sep		178.95
2005		Oct		112.96
2005		Nov		88.57
2005		Dec		71.6
