year		month		H(h)_m
2005		Jan		54.25
2005		Feb		87.31
2005		Mar		142.56
2005		Apr		147.56
2005		May		192.64
2005		Jun		225.22
2005		Jul		241.74
2005		Aug		199.95
2005		Sep		151.01
2005		Oct		97.65
2005		Nov		60.71
2005		Dec		53.41
